rps,diff_begin,diff_end,diff_max
25000,1226,12,1437
50000,1129,13,1214
100000,1125,11,1184
125000,1104,12,1153
150000,1126,12,1196
175000,1110,12,1369
200000,1105,13,1518
225000,1115,13,1645
250000,1106,12,1773
275000,1098,14,1906
300000,1123,14,2044
325000,1111,17,2153
350000,1143,17,2284
375000,1129,14,2502
400000,1110,17,2628
425000,1101,16,2839
450000,1098,127,2789
475000,1111,2811,6424
500000,1116,4886,10575
600000,1145,10048,17474
700000,1171,42337,42447
800000,1209,27302,27337
900000,1105,16734,22563
1000000,1101,14009,21006
