rps,diff_begin,diff_end,diff_max
25000,120,-177,180
50000,118,-82,141
75000,61,6,105
100000,43,4,124
125000,60,4,99
150000,92,7,192
175000,25,-5,196
200000,79,7,334
250000,131,15,545
300000,125,11,798
325000,38,14,816
350000,121,23,920
400000,113,24,1227
450000,131,1885,4440
500000,139,4351,8817
550000,195,7158,12681
600000,44,9422,14537
650000,276,10981,16027
700000,314,10606,15082
750000,418,12903,18058
800000,240,12357,17075
850000,45,14162,18419
900000,302,14465,19304
950000,190,13533,17764
1000000,241,13365,17179
