rps,diff_begin,diff_end,diff_max
25000,1228,695,1642
50000,1130,1638,1733
100000,1125,1676,1723
125000,1108,787,1639
150000,1128,839,1816
175000,1112,895,2046
200000,1103,1401,3203
225000,1114,3018,5141
250000,1127,7029,12951
275000,1107,12047,19332
300000,1122,14186,24087
325000,1121,18178,27661
350000,1119,20673,29995
375000,1131,23222,32869
400000,1148,24157,32746
425000,1158,28851,35686
450000,1110,29406,37143
475000,1100,31019,31094
500000,1148,38231,44619
600000,1196,34936,39904
700000,1138,38948,39971
800000,1096,40555,40654
900000,1267,49197,51605
1000000,1225,45779,46175
