rps,diff_begin,diff_end,diff_max
25000,76,-100,518
50000,122,-52,362
75000,114,1895,2011
100000,131,1710,1803
125000,82,756,1376
150000,127,1880,2061
175000,75,2035,2192
200000,121,1131,4288
250000,56,2494,6449
300000,149,2552,6371
350000,65,2742,6253
400000,120,4121,6128
450000,95,4901,6282
500000,56,5741,7904
550000,115,17197,17802
600000,105,8717,10813
650000,46,28063,28518
700000,133,7477,9430
750000,118,23282,23621
800000,207,28694,28838
850000,42,38030,38138
900000,72,34071,34156
950000,44,21832,21977
1000000,101,21094,21426
