rps,diff_begin,diff_end,diff_max
25000,552,1544,4827
50000,580,2203,2720
75000,661,2452,3435
100000,593,1715,2326
125000,631,2115,3222
150000,682,2218,3751
175000,573,2370,3123
200000,664,2222,2904
250000,667,2734,3772
300000,605,2944,4452
350000,777,3203,4636
400000,671,3838,5677
450000,784,4164,6222
500000,755,4847,6857
600000,647,8227,10396
650000,813,7877,10253
700000,638,8773,11035
750000,595,9361,11331
800000,782,9320,10975
850000,861,9578,11244
900000,694,9721,11478
950000,873,9438,11062
1000000,645,9202,11104
